,Datetime,Text
35,2021-05-18 23:41:34+00:00,"@kd7svh @RexChapman Oh no, I'm not lessening their crimes of attacking the Capitol. I'm saying they have the ""smarts "" to know they were committing crimes for DJT, but were bamboozled by Trump lies.
The Shaman's Atty said many of the mob were like those on a ""short bus."" Not all of them..."
36,2021-05-18 23:41:33+00:00,"@mikepompeo 
MY ANSWER TO THIS PATHETIC INDIVIDUAL COWARD MIKE POMPEO 
SNIFF, SNIFF DADDY TRUMP'S BUTT. 
MASKED OR UNMASKED REGARDLESS.

CAN'T GET DEEP ENOUGH* https://t.co/wabVoAeqdC"
37,2021-05-18 23:41:32+00:00,@RepTroyNehls Where was this with the trump tax cuts?  How much was added to the national debt?? Now you're fiscally responsible?
38,2021-05-18 23:40:20+00:00,"@realedwardallen @sjh12171985 @JJOinTN @WSJ Trump started zero wars. Just made major peace gains in the Middle East, which Biden has blown in a matter of months."
39,2021-05-18 23:40:16+00:00,"https://t.co/lJeVKeXSui Texans should be outraged by everything that Magnolia ISD has done since June 1st, 2020. Expose the far right wing fascist racist authoritarian pro #Trump school district known as Magnolia ISD of Magnolia #Texas #Truth #blacklivesmatter #StudentLivesMatter"
40,2021-05-18 23:39:01+00:00,@Trump_Detester @Urtoez75_2 Recognized it immediately!
41,2021-05-18 23:38:08+00:00,Eric trump and Andrew Giuliani are trending on @Twitter
42,2021-05-18 23:37:04+00:00,@CJ28293627 @Jimmyjude13 @TicTocTick Rounds of golf with Trump!
43,2021-05-18 23:36:33+00:00,@Mollyrhale She really used the word trump eh 😒
44,2021-05-18 23:36:07+00:00,I love ❤️ @POTUS45 go watch @Nexflix #donaldtrumptheplotagaisntamerica #2024
45,2021-05-18 23:35:09+00:00,"Can you run as a Georgia Republican in 2020 if your Venn diagram with Trump and his false claims of fraud is anything other than a complete circle? 

Not in public, or not for long -&gt; https://t.co/ilO0GO8PaY https://t.co/oRIgE22y8A"
46,2021-05-18 23:35:04+00:00,"@roodio @LangmanVince roo 
You’re not much for telling the truth are you?

The criminal Trump oversaw numerous weapon sales and specifically to the Middle East"
47,2021-05-18 23:34:56+00:00,"Why? Because they know that was Trump’s base on 1/6. They believe that they need that base to stay in power. So, they aren’t going to do anything to jeopardize that. And that’s a dangerous game. https://t.co/FJH6vMKNdw"
48,2021-05-18 23:34:39+00:00,Democrats are getting too comfortable they think the danger is all over because Trump left office but the danger to democracy is still very real &amp; Trump is leading the efforts to kill it through his loyalists in the GOP &amp; the american public
49,2021-05-18 23:34:30+00:00,@Offensiveattack @Cernovich President Trump is the Greatest President and I’m totally proud of him! #Trump2024
50,2021-05-18 23:33:51+00:00,@thehill Is this republican from this planet? Oh that's right she is  a trump robot.
51,2021-05-18 23:29:37+00:00,"You did so good breaking from both Trump and the establishment on Yemen, but you fail to rise to the occasion on Palestine. https://t.co/II2l2lS387"
52,2021-05-18 23:29:10+00:00,In other news….Trump joked about using bleach to clean the inside of the body!  What?  You said that wasn’t a joke?? https://t.co/MVG3yXspBn
53,2021-05-18 23:27:23+00:00,I don’t even think trump knows how to drive. https://t.co/VUif2APDHU
54,2021-05-18 23:27:15+00:00,"@HamDried Can you name an actual human that has andrew giulianis gum line? eric trump doesn't count, he's the other half of the proof!"
55,2021-05-18 23:25:25+00:00,Zach Wilson's Mom Is Sick Of People Saying She's Racist Just Because She Supports Trump - https://t.co/EJvPVkOGaA https://t.co/NZ47dZx4VD #racists 🇺🇸
56,2021-05-18 23:23:45+00:00,"@Darth_Anarchist @JWooTV @ItalianTexans @CBSNews The Anarchist complaining about the candidate’s lack of a mile-long trail of accreditation and credentials … that’s rich.

I’m against pointless credentialism but I’m more against the Trump faction of the GOP (at this point, that leaves anybody in the GOP out of consideration)."
57,2021-05-18 23:21:58+00:00,"If only DEMOCRATS were as LOW and manipulative as GQP/ TRUMP 
to DEMAND a RECOUNT with their 
ELECTION OFFICIALS 

Why NOT COUNTER 
to the ARIZONA DISTRACTION⁉️ https://t.co/p88CYINDJx"
58,2021-05-18 23:21:37+00:00,He so far up trumps ass he can’t even see https://t.co/K2AVTHskO9
59,2021-05-18 23:20:40+00:00,The biggest problem with Governor Abbott is that he is Trump's governor not TX's governor.
60,2021-05-18 23:19:51+00:00,"@Smitter11 @tedcruz Not just better ideas, IDEAS. The GOP introduces little, like they said for years they had a health plan, but WHERE? Even when they had majority  in Trump CONGRESS! so WHERE IS IT? LIE. As (barely existing) party, McConnell stated “100 percent devoted to stopping Dems. Worthless."
61,2021-05-18 23:19:13+00:00,"Why is Kevin, (the Kern County Sissy) afraid of Donald Trump. Does Trump have pictures of Kevin? House Republicans can do a whole lot better than McCarthy."
62,2021-05-18 23:17:32+00:00,"@ExInfantryGrunt @dwilliams1210 We cannot let this go; if we don't hold them accountable, it will get worse. trump proved that when the coward, lawless Republicans dismissed his actions when he was impeached twice.  trump is not fit to be a leader of nothing."
