,Datetime,Text
27,2021-12-29 18:59:13+00:00,"Increased magnificence of Durga Puja, recognition from UNESCO Durga Puja recognized by UNESCO | Patrika News https://t.co/7r61W2mdpD"
28,2021-12-29 18:59:09+00:00,"Increased magnificence of Durga Puja, recognition from UNESCO Durga Puja recognized by UNESCO | Patrika News https://t.co/S1BQPM93pd"
29,2021-12-29 18:44:34+00:00,"@LavaMobile Durga Puja added to UNESCO's ICH list.  #ProudlyIndian
#LavaMobiles  
Tags - @MonuChauhan25 @Sonika52507388 @Officialy_Sana"
30,2021-12-29 18:29:10+00:00,"@anika_ac_ Kali Puja nhi to, Durga Puja hi hota hai, but ha sure I wud love to meet you 😘😘😘😘"
31,2021-12-29 18:01:16+00:00,Durga puja 2020 https://t.co/ZlyyAMiYuF
32,2021-12-29 17:49:10+00:00,Special Exhibition At Indian Museum To Celebrate Durga Puja’s UNESCO Tag https://t.co/mKSOSHK9pt
33,2021-12-29 15:15:33+00:00,@RJJPBokaro Is she the same one who killed one young boy during Durga puja bisharjan
34,2021-12-29 15:13:32+00:00,"@LavaMobile #ContestAlert @LavaMobile #ProudlyIndian #LavaMobiles
Kolkata's Durga Puja added to UNESCO's ICH list

What a proud moment of your tradition

Join
@vinaykalra3
@se3makumari
@Barbiegiri_"
35,2021-12-29 15:00:17+00:00,"After Durgapuja incident in Bangladesh #BJP kept silence! After minority conversion, abduction, forceful marriage in Pakistan #BJP4IND kept silence, after Owasi in UP incident #BJP4UP &amp; govt of India kept silence, but after Haridwar incident Pakistan took step. #wednesdaythought"
36,2021-12-29 14:54:22+00:00,"10) Durga Puja added to UNESCO's ICH list

To honor the cultural and religious festival, Durga Puja was added to the UN body's representative list of the Intangible Cultural Heritage of Humanity. https://t.co/izdUr7OMqJ"
37,2021-12-29 14:37:24+00:00,@namitaj68 Ridiculous. Mughuls became Indians &amp; Indians became Kafirs.Muslims became Kashmiris &amp; Pandits became refugees. Bangladeshis became Bengalis &amp; Bengalis couldn't celebrate Durga Puja .Those intolerant of Hindus became Secular and who take stand for Hindus became Sanghi Terrorists.
38,2021-12-29 14:01:56+00:00,"July - My birthday month
October - Durga Puja❤️ https://t.co/phm8IUy3Sy"
39,2021-12-29 13:33:48+00:00,"Neeraj Chopra gold medal ,India's Covid- 19 Vaccination Record , Launch of Ballistic Missile Agni V ,Harnaj Sandhu Became Miss Universe , Proud moment Durga Puja added to UNESCO's ICH list
@itspalak18 
@Tuaa74 
@hey_its_amisha 
#ProudlyIndian 
#LavaMobiles @LavaMobile https://t.co/TeKNHY4x38"
40,2021-12-29 12:29:53+00:00,"@LavaMobile #ProudlyIndian #LavaMobiles

UNESCO inscribing Kolkata’s Durga Puja on the list of Intangible Cultural Heritage of Humanity.

@Chinmay76433192 @Doctordemure @HR_Shraddha"
41,2021-12-29 12:20:58+00:00,"@LavaMobile Durga Puja added to UNESCO's ICH list

#ProudlyIndian #LavaMobiles"
42,2021-12-29 10:59:14+00:00,"@GoaNewsLive @BJP4India @AITC4Goa @AITCofficial Durga Puja stopped, pendals broken..immersion procession postponed for moharram..hundreds killed ..people will not forget."
43,2021-12-29 06:51:45+00:00,@MeghBulletin Ridiculous. Moghuls became Indians &amp; Indians became Kafirs.Muslims became Kashmiris &amp; Pandits became refugees. Bangladeshis became Bengalis &amp; Bengalis couldn't celebrate Durga Puja .Those intolerant of Hindus became Secular and who take stand for Hindus became Sanghi Terrorists.
44,2021-12-29 06:39:45+00:00,UNESCO has now included Kolkata’s Durga Puja in their list of “Intangible Cultural Heritage of Humanity”. We are extremely proud that our Durga Puja is finally getting the recognition it deserves. #ThanksUNESCO2021 #DurgaPuja #Kolkata https://t.co/lPAvOoWm54
45,2021-12-29 06:15:58+00:00,"@dramipoonia Kitne bar aap saudi gaye ho ?
Khule me naaz padne ka kise shok nhi ek bar jakar to dekho kya wajhe hoti hai wyese pade likhe log jab bat samjh nhi pate to unhe ham jahil ki upadhi dete hai ek bar jakar dekhna koi tumhe nare lagne ko nhi bolega or durga puja ke pandal k liye?"
